Time(Iteration),CUCB_Attack_prop=1,CUCB_Attack_prop=2,CUCB_Attack_prop=3,CUCB
514,20,12,18,26
515,14,15,18,29
516,10,11,28,20
517,11,17,19,23
518,19,17,18,27
519,16,14,20,26
520,15,17,22,20
521,14,11,23,21
522,16,11,19,27
523,16,13,22,27
524,17,17,21,23
525,14,13,21,23
526,21,17,18,29
527,11,10,19,20
528,23,12,20,24
529,11,19,18,21
530,17,13,17,23
531,12,15,20,24
532,14,11,20,23
533,21,15,20,22
534,13,11,19,23
535,13,14,17,21
536,10,21,19,23
537,11,10,20,21
538,16,11,23,25
539,19,16,20,21
540,15,13,20,20
541,24,22,21,22
542,10,19,20,23
543,12,13,22,24
544,15,11,17,22
545,13,12,27,21
546,13,18,21,20
547,10,12,20,22
548,22,11,22,24
549,13,20,21,20
550,16,21,19,27
551,12,15,17,26
552,15,13,23,26
553,13,13,18,24
554,12,14,26,21
555,14,13,24,27
556,13,12,19,22
557,20,11,22,22
558,23,19,19,21
559,13,12,20,23
560,16,14,20,24
561,14,14,22,24
562,14,14,16,20
563,15,18,19,23
564,12,22,20,22
565,10,15,20,23
566,18,12,18,22
567,11,13,21,21
568,11,15,20,22
569,11,18,23,26
570,16,23,22,24
571,14,11,23,19
572,19,16,18,29
573,14,17,17,20
574,13,13,19,22
575,17,14,18,25
576,14,12,24,23
577,11,16,19,23
578,12,14,16,24
579,20,18,18,24
580,13,13,18,20
581,10,11,17,27
582,15,16,21,22
583,16,13,21,23
584,10,17,24,21
585,22,14,23,21
586,12,12,24,32
587,17,11,22,24
588,16,17,18,23
589,25,15,21,23
590,16,11,18,22
591,12,13,21,22
592,18,14,21,25
593,15,13,18,19
594,19,11,22,24
595,15,16,19,23
596,10,15,19,23
597,21,13,19,22
598,18,15,21,25
599,17,11,20,23
600,17,14,18,24
601,19,14,20,24
602,15,11,22,20
603,15,12,20,23
604,16,14,21,24
605,20,10,18,23
606,12,20,19,23
607,20,10,22,23
608,22,14,26,21
609,13,21,20,24
610,11,16,25,27
611,10,14,18,25
612,11,10,20,21
613,23,14,20,22
614,11,12,18,21
615,20,18,16,20
616,11,16,18,25
617,11,16,20,19
618,11,13,20,21
619,11,13,17,22
620,11,14,18,24
621,11,15,21,24
622,15,15,20,25
623,17,22,25,21
624,12,25,21,24
625,21,15,18,22
626,11,12,22,23
627,13,18,19,20
628,11,16,19,20
629,19,11,18,21
630,11,23,23,26
631,13,10,23,20
632,18,12,17,26
633,18,15,19,21
634,15,11,17,25
635,11,11,19,21
636,17,10,24,29
637,12,17,17,23
638,15,10,21,23
639,12,14,19,27
640,13,19,20,23
641,13,15,22,23
642,17,17,18,22
643,10,11,25,32
644,17,16,20,26
645,15,10,26,22
646,12,13,18,25
647,16,21,18,24
648,17,19,18,29
649,17,22,19,24
650,13,15,18,25
651,14,11,18,22
652,10,11,20,22
653,17,11,19,20
654,11,20,18,23
655,21,19,18,22
656,14,15,28,25
657,15,12,20,22
658,14,26,22,20
659,15,11,22,21
660,16,17,18,21
661,21,14,19,24
662,11,17,19,24
663,15,11,22,26
664,24,17,22,21
665,14,22,18,27
666,18,18,20,21
667,20,15,18,23
668,11,19,20,22
669,16,13,21,25
670,19,11,22,20
671,14,15,20,19
672,12,13,18,25
673,14,13,18,22
674,12,11,16,26
675,14,21,19,23
676,15,11,21,20
677,11,10,17,20
678,15,13,21,22
679,12,15,22,24
680,17,14,18,22
681,15,15,30,23
682,14,16,22,25
683,14,12,26,26
684,23,19,21,20
685,12,11,19,26
686,19,10,21,22
687,11,20,19,21
688,20,14,20,24
689,13,11,21,27
690,11,16,19,23
691,12,14,21,19
692,22,13,21,25
693,13,12,21,24
694,10,15,17,20
695,17,13,31,27
696,12,19,19,24
